Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,
Giannis Antetokounmpo,30,PF,49,49,33.9,12.2,20.2,0.605,0.2,0.9,0.19,12.1,19.3,0.623,0.609,6.2,10.3,0.596,2.3,9.9,12.1,5.9,0.8,1.2,3.3,2.5,30.8,
Nikola Jokić,29,C,56,56,36.1,11,19.1,0.576,1.9,4.4,0.439,9.1,14.7,0.618,0.627,4.9,6,0.819,2.9,9.9,12.8,10.4,1.8,0.6,3.3,2.2,28.8,
Jayson Tatum,26,PF,58,58,36.5,9.1,20.1,0.452,3.6,10.1,0.352,5.6,10,0.553,0.541,5,6.3,0.802,0.7,8.2,8.8,5.8,1.1,0.5,2.9,2.2,26.8,
Anthony Davis,31,PF,43,43,34.2,9.5,18,0.528,0.7,2.2,0.313,8.8,15.8,0.559,0.548,6,7.6,0.786,2.9,9.1,12,3.4,1.3,2.2,2.2,1.9,25.7,
Anthony Davis,31,C,42,42,34.3,9.5,18,0.528,0.7,2.2,0.298,8.9,15.8,0.56,0.546,6,7.6,0.788,2.8,9,11.9,3.4,1.3,2.1,2.2,2,25.7,
Zion Williamson,24,PF,24,24,28.3,9.8,17.2,0.573,0.1,0.5,0.231,9.7,16.6,0.584,0.576,5,8,0.634,2.7,4.6,7.3,5.2,1.3,0.9,2.9,2.7,24.8,
Karl-Anthony Towns,29,C,54,54,35.1,8.9,16.7,0.53,2,4.8,0.425,6.8,11.9,0.572,0.591,4.7,5.6,0.836,3.1,10.3,13.4,3.1,1,0.8,2.6,3.5,24.5,
Joel Embiid,30,C,19,19,30.2,7.4,16.6,0.444,1.2,4.1,0.299,6.2,12.5,0.492,0.481,7.8,8.9,0.882,1.9,6.3,8.2,4.5,0.7,0.9,3.3,2.2,23.8,
Jaren Jackson Jr.,25,C,59,59,29.4,8.2,16.5,0.497,1.9,5.2,0.365,6.3,11.3,0.558,0.555,4.5,5.8,0.772,1.3,4.5,5.8,2.1,1.3,1.6,2.2,3.4,22.7,
Pascal Siakam,30,PF,60,60,32.9,7.9,15.2,0.521,1.7,4.3,0.402,6.2,10.9,0.567,0.577,3,4.1,0.743,1.7,5.5,7.2,3.3,0.9,0.5,1.3,2.6,20.6,
